resume_text,quality
"Graduate with knowledge of Java, JavaScript, CSS, Basic Python seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Graduate with knowledge of C, Excel, Communication, HTML seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Python, PyTorch, Docker, NLP, SQL and over 7 years of experience.",2
"Experienced professional with skills in NLP, Data Analysis, Machine Learning, TensorFlow, Cloud and over 4 years of experience.",2
"Experienced professional with skills in PyTorch, TensorFlow, Deep Learning, Machine Learning, Data Analysis and over 3 years of experience.",2
"Graduate with knowledge of Excel, Basic Python, C++, JavaScript seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
Fresher with no significant technical experience.,0
"Graduate with knowledge of C, CSS, Excel, Basic Python seeking entry level opportunity.",1
"Experienced professional with skills in Docker, Python, PyTorch, Machine Learning, SQL and over 6 years of experience.",2
"Graduate with knowledge of Excel, Java, Basic Python, CSS seeking entry level opportunity.",1
Fresher with no significant technical experience.,0
"Graduate with knowledge of Excel, C++, HTML, Basic Python seeking entry level opportunity.",1
"Graduate with knowledge of JavaScript, Basic Python, C, Excel seeking entry level opportunity.",1
"Graduate with knowledge of Excel, C++, Communication, Basic Python seeking entry level opportunity.",1
"Experienced professional with skills in Docker, Data Analysis, Deep Learning, Cloud, Python and over 10 years of experience.",2
"Experienced professional with skills in Cloud, TensorFlow, Docker, SQL, Python and over 9 years of experience.",2
Fresher with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in Docker, NLP, TensorFlow, Deep Learning, Machine Learning and over 9 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in NLP, TensorFlow, Python, Cloud, Data Analysis and over 6 years of experience.",2
Interested in IT field with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Python, PyTorch, Deep Learning, Data Analysis, NLP and over 7 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Cloud, PyTorch, Data Analysis, TensorFlow, NLP and over 6 years of experience.",2
"Experienced professional with skills in SQL, Machine Learning, Cloud, PyTorch, TensorFlow and over 10 years of experience.",2
"Graduate with knowledge of Excel, Communication, CSS, JavaScript seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
Basic computer knowledge with no significant technical experience.,0
"Experienced professional with skills in NLP, Deep Learning, TensorFlow, PyTorch, Python and over 8 years of experience.",2
"Experienced professional with skills in Docker, Deep Learning, Python, SQL, NLP and over 7 years of experience.",2
"Experienced professional with skills in Python, Docker, Deep Learning, Machine Learning, TensorFlow and over 7 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of HTML, Basic Python, Excel, Java seeking entry level opportunity.",1
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of CSS, HTML, C, JavaScript seeking entry level opportunity.",1
"Experienced professional with skills in Python, TensorFlow, Cloud, Deep Learning, SQL and over 5 years of experience.",2
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of C, JavaScript, CSS, Communication seeking entry level opportunity.",1
"Experienced professional with skills in NLP, TensorFlow, SQL, Data Analysis, PyTorch and over 8 years of experience.",2
"Graduate with knowledge of CSS, Java, Basic Python, Excel seeking entry level opportunity.",1
"Graduate with knowledge of C, JavaScript, HTML, Basic Python seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Experienced professional with skills in Data Analysis, Cloud, Deep Learning, SQL, PyTorch and over 4 years of experience.",2
Fresher with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
Fresher with no significant technical experience.,0
Looking for job opportunity with no significant technical experience.,0
"Graduate with knowledge of JavaScript, C++, Excel, HTML seeking entry level opportunity.",1
"Experienced professional with skills in SQL, Deep Learning, PyTorch, TensorFlow, Machine Learning and over 9 years of experience.",2
"Graduate with knowledge of CSS, Excel, C++, HTML seeking entry level opportunity.",1
Basic computer knowledge with no significant technical experience.,0
Fresher with no significant technical experience.,0
Interested in IT field with no significant technical experience.,0
"Graduate with knowledge of CSS, HTML, C, JavaScript seeking entry level opportunity.",1
"Experienced professional with skills in Cloud, Data Analysis, Python, SQL, Machine Learning and over 7 years of experience.",2
"Experienced professional with skills in TensorFlow, Docker, Machine Learning, Deep Learning, Cloud and over 9 years of experience.",2
"Graduate with knowledge of Communication, C, Excel, CSS seeking entry level opportunity.",1
"Experienced professional with skills in PyTorch, Docker, SQL, NLP, TensorFlow and over 6 years of experience.",2
